s,l,n,m,metric,q,d_L,d_dec,d_bnd,n_sdp,tau,c,delta,alpha,r,status,runtime_s,solver,solver_status,c_floor,cond_P
1,1,2,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.001926223462157023,0.0019262234620388127,certified,22.881774799898267,mosek,optimal,,
2,1,2,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.0006265092016418751,0.0006265092023294982,certified,32.94164700061083,mosek,optimal,,
0,2,2,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-0.0015457548104689718,0.0015457548122777096,certified,92.80830520018935,mosek,optimal,,
1,2,2,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-0.00042317708333333075,0.00042317708333333335,certified,69.02767490036786,mosek,optimal,,
0,1,2,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-0.00625071313669622,0.00625071313728541,certified,87.13858219981194,mosek,optimal,,
1,1,2,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-0.0012841489747713456,0.0012841489746925419,certified,26.001045498996973,mosek,optimal,,
2,1,2,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-0.00046988190123140565,0.00046988190174712365,certified,100.13769860006869,mosek,optimal,,
0,2,2,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-0.0010305032069793205,0.0010305032081851398,certified,101.98652520030737,mosek,optimal,,
1,2,2,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-0.0003173828125000029,0.0003173828125,certified,31.4761207010597,mosek,optimal,,
2,2,2,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-0.00012233976731432868,0.00012233976779122785,certified,104.56605270132422,mosek,optimal,,
0,3,2,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-0.00015578882971470563,0.00015578882965766114,certified,108.13284919969738,mosek,optimal,,
0,1,4,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-0.0006950750017655856,0.0006950750020191439,certified,18.39673350006342,mosek,optimal,,
1,1,4,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-0.00021895253924962034,0.00021895253109125942,certified,22.150789998471737,mosek,optimal,,
2,1,4,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-7.964828601192926e-05,7.964828991977531e-05,certified,118.90298520028591,mosek,optimal,,
0,2,4,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-2.1938444737194435e-05,2.1938444381472984e-05,certified,97.41645759902894,mosek,optimal,,
1,2,4,4,q,1,2,6,2,7970,0.0001,1.0,1/250,-8.855737475758752e-06,8.855737505819484e-06,certified,38.14072080142796,mosek,optimal,,
2,2,4,4,q,1,2,8,2,24186,0.0001,1.0,1/250,-3.6907609786885785e-06,3.6907587092678643e-06,certified,111.88396730087698,mosek,optimal,,
0,1,4,4,q,0,6,10,6,97518,0.0001,1.0,1/250,-0.0005213062513241924,0.000521306251514358,certified,823.5335579011589,mosek,optimal,,
2,2,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.017295295997540816,0.01729529599672325,certified,0.746357599273324,mosek,optimal,,
0,3,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.032222798486646886,0.03222279848811047,certified,0.5444686990231276,mosek,optimal,,
1,3,2,2,q,2,2,6,0,405,0.0001,1.0,1/250,-0.020592647819472676,0.02059264781820904,certified,1.0609348993748426,mosek,optimal,,
2,3,2,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.014478798989835673,0.014478798989541583,certified,0.6191440001130104,mosek,optimal,,
0,1,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.04871280977705328,0.04871280977541749,certified,0.640802301466465,mosek,optimal,,
1,1,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.022852107569267005,0.02285210756836688,certified,0.5891467984765768,mosek,optimal,,
2,1,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.013737973504974715,0.013737973505417198,certified,1.0630540996789932,mosek,optimal,,
0,2,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.02580313459714939,0.025803134596061567,certified,0.5964007992297411,mosek,optimal,,
1,2,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.0166523366405959,0.01665233663766943,certified,0.7039713002741337,mosek,optimal,,
2,2,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.01162443170150923,0.011624431700310477,certified,0.9910147003829479,mosek,optimal,,
0,3,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.016074367090180175,0.016074367090793785,certified,0.563272500410676,mosek,optimal,,
1,3,3,2,q,2,2,6,0,405,0.0001,1.0,1/250,-0.01181529023734984,0.011815290237518632,certified,1.2664563991129398,mosek,optimal,,
2,3,3,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.009037642045454541,0.009037642045454545,certified,0.8105604015290737,mosek,optimal,,
0,1,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.030688051662089544,0.030688051658086433,certified,0.7659901008009911,mosek,optimal,,
1,1,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.016989177352640605,0.01698917735404324,certified,0.5429223999381065,mosek,optimal,,
2,1,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.010809559998463003,0.010809560014544974,certified,0.7582085002213717,mosek,optimal,,
0,2,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.015255241096507943,0.01525524109456004,certified,0.6001086011528969,mosek,optimal,,
1,2,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.010828303765606895,0.010828303765571338,certified,1.9160232990980148,mosek,optimal,,
2,2,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.008048523011613073,0.008048523013650149,certified,0.654093699529767,mosek,optimal,,
0,3,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.009466674123097873,0.00946667412356365,certified,0.6022200006991625,mosek,optimal,,
1,3,4,2,q,2,2,6,0,405,0.0001,1.0,1/250,-0.007465598146205621,0.007465598144145094,certified,0.8345410004258156,mosek,optimal,,
2,3,4,2,q,2,2,4,0,199,0.0001,1.0,1/250,-0.0060294241217652145,0.006029424120349693,certified,0.700305100530386,mosek,optimal,,
0,1,4,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.003833576786279414,0.0038335767859548867,certified,5.477384399622679,mosek,optimal,,
1,1,4,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0015431444633737027,0.0015431444632961887,certified,4.288122599944472,mosek,optimal,,
2,1,4,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.0007174633177048258,0.0007174633187536317,certified,7.397326100617647,mosek,optimal,,
0,2,4,3,q,2,2,8,0,4850,0.0001,1.0,1/250,-0.00033230299242196094,0.0003323029926603332,certified,12.595114599913359,mosek,optimal,,
1,2,4,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-0.00017922367092674054,0.0001792236711415847,certified,4.1300996001809835,mosek,optimal,,
2,2,4,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-9.842258891765375e-05,9.842258874121294e-05,certified,4.937848400324583,mosek,optimal,,
0,3,4,3,q,2,2,8,0,4850,0.0001,1.0,1/250,-3.708373264632567e-05,3.7083735073796635e-05,certified,12.580804400146008,mosek,optimal,,
1,3,4,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-2.251114594004314e-05,2.2511146534901423e-05,certified,5.527871400117874,mosek,optimal,,
2,3,4,3,q,2,2,6,0,1880,0.0001,1.0,1/250,-1.3503806207663918e-05,1.350380537235393e-05,certified,7.275634299963713,mosek,optimal,,
2,2,2,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.00015292470914290786,0.00015292471040515934,certified,30.653114199638367,mosek,optimal,,
0,3,2,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-0.0002077184396196235,0.00020771843954354817,certified,130.08816540054977,mosek,optimal,,
1,3,2,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-7.351864714636796e-05,7.351867424681125e-05,certified,25.8124803006649,mosek,optimal,,
2,3,2,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-2.9852653870632987e-05,2.9852655820201718e-05,certified,21.81259509921074,mosek,optimal,,
0,1,3,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.003045434380465446,0.0030454343811735667,certified,18.502174198627472,mosek,optimal,,
1,1,3,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.000739128916533921,0.0007391289152150529,certified,22.37191740050912,mosek,optimal,,
2,1,3,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-0.00024660923040831033,0.0002466091245376079,certified,24.669284800067544,mosek,optimal,,
0,2,3,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-0.00017704653816774736,0.00017704653955057608,certified,77.29146800003946,mosek,optimal,,
1,2,3,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-6.307495456525568e-05,6.30749524511897e-05,certified,16.830875400453806,mosek,optimal,,
2,2,3,4,q,2,2,6,0,6815,0.0001,1.0,1/250,-2.4527762500198714e-05,2.452776389574474e-05,certified,22.51495400071144,mosek,optimal,,
0,3,3,4,q,2,2,8,0,23031,0.0001,1.0,1/250,-1.2065413818171992e-05,1.2065412083181145e-05,certified,77.51700549945235,mosek,optimal,,
