s,l,n,m,q,d_L,d_dec,d_bnd,n_sdp,c,delta,eps_R,eps_M,rho,alpha,mu,w1,mu_z2,status,runtime_s,solver,solver_status,decrease_rate,max_den,q_max_den,mosek_tol,attempt_count,max_d_L_tested,exhausted_to_max_d_L,sweep_note,min_projected_lambda_float,max_gram_basis_size,rough_min_max_den_for_screen,verified,lyapunov_function
0,1,2,2,2,4,10,4,1114,1.0,1/250,1.5082900835043734e-05,1e-06,0.496,-0.0964725650655629,1e-06,1.0,1e-06,certified,153.54639199993107,mosek,optimal,pL,100000000,1000000000000,1e-10,1,,,,,,,True,1306794384765625*x1**4/2263055560982436 - 89180908203125*x1**3*x2/127419795598612 + 21064313042593311335546875*x1**3/132412853632301000973138606 + 497046045323706787109375*x1**2*x2**2/200312530008027771091164 - 10956527360546207552133799003903376201171875*x1**2*x2/5478323592965761981038465789305731760047424 + 62047063609015481783615646601841157186820819424196391497296875*x1**2/33135130147559566279622121942449381196969784635596729168467584 + 3586492919921875*x1*x2**3/6084077108422104 - 6748571823439871690651134894623127718740234375*x1*x2**2/7363360867105615741214584160530724282343946896 - 2930964007138132848675336811484708499565738363866223434361710009375*x1*x2/2164831579790917853227577671024759758267575755293945384950977320512 - 31663789731018984779031631431122842132682374345535147472619603870556305053241742946875*x1/39281346707608049486497507165327943326767988645509401946974790023049087811594746427776 + 72534521484375*x2**4/78030861485302 - 34615480727345863016356337890625*x2**3/15375448338754392263669399530128 + 37163512366858800030524300018466636018176927827592305892577923359375*x2**2/16666723934547437968233531832334599950420848100993663378494231581408 - 118344713925606482690088808291762458938442285333138313863332878138653764207545652040625*x2/948391882185792363741369872677625797024110147525711578186869078290201269574844674910976 + 2108390821974230950822550040744454619899621831030042050528004791014353824753135457416101995520419778928125/13011516566207583768711783460489350124778169528243572269000427278420718066126257464191244207572120663367168
0,1,3,2,2,4,10,4,1114,1.0,1/250,0.0003830196695583684,1e-06,0.6626666666666666,-0.04871280977705328,1e-06,1.0,1e-06,certified,154.86099319998175,mosek,optimal,pL,100000000,1000000000000,1e-10,1,,,,,,,True,3107156994140625000*x1**4/6354151752310705777 - 86707833750000000*x1**3*x2/252630118179991601 - 55719272957644223227754437500000*x1**3/42776861713093385120408245370507 + 980084289573111128906250000*x1**2*x2**2/598550651323693297940035577 - 16662773701059944732674842943436515795953562500000*x1**2*x2/5718982124828175385385480902047622271283948799237 + 14089943714909837309374117377831864303228655243306554782007963634312500*x1**2/3105680647722982011025198253048245510190411921209179703682601859212767 + 505603265625000000*x1*x2**3/1432524608967824729 - 10955017812458662014687888151535981823573300000000*x1*x2**2/8858441473464497593285265470350272507627227685479 + 3212379684137616861324760093813745738016864800651370863714457012604563935250000*x1*x2/1032682895070699468096095042564204298443075907724215623290195870791522117422801 - 2577448255188162620795538051400728403559405701541676521223109511040363269009002581109480230503250000*x1/560796171845347877731546315672059188010380285547124559538795911411019733470690455002075454251775491 + 14571276996093750000*x2**4/21449103866883803999 - 1779058996444789194533804859375000*x2**3/810297826628005055467642970747293 + 10262222781348081244526775844999150961715337195142230096437135373406250*x2**2/2847078677043778474603873957958394022368269888688943357438642795353977 - 168116198261117380573601101621379788058434547850946340883674315570428154259007596386350175612875000*x2/47414490936789300490572858690205615304580579790705801969467808578926878471506378373471873022354809 + 1155486597860874799382640560219935455028890106486856329656772723117580073483463997751446079421262082264052285256793625000/540715032484455702704524265567064547511135780471588389870980093843224000392423046473477410171816080355808805645067813399
0,1,4,2,2,2,6,2,293,1.0,1/250,0.0007129930739808731,1e-06,0.746,-0.030688051662089544,1e-06,1.0,1e-06,certified,3.809024199959822,mosek,optimal,pL,100000000,1000000000000,1e-10,7,,,,,,,True,2331030062500*x1**2/1770011520481 + 62313670000*x1*x2/75054947727 - 826942249217376250*x1/318285241624413901 + 9475494125000*x2**2/6590110960519 - 3293740758820780000*x2/1185040343031487099 + 121609444496197168045025625/60304754850548434703319244
0,2,2,2,2,2,6,2,293,1.0,1/250,0.0009941255261643397,1e-06,0.6626666666666666,-0.05217476471318727,1e-06,1.0,1e-06,certified,5.483116899966262,mosek,optimal,pL,100000000,1000000000000,1e-10,7,,,,,,,True,852386025000*x1**2/379080019129 + 2837250000*x1*x2/13249315751 - 63864361104800000*x1/20333473146060431 + 5463742359375*x2**2/2910094788979 - 413043956139187500*x2/156094574386044581 + 198042555561545557212500/102666590362863978691569
0,2,3,2,2,2,6,2,293,1.0,1/250,0.001268696791271474,1e-06,0.796,-0.02580313459714939,1e-06,1.0,1e-06,certified,3.690498200012371,mosek,optimal,pL,100000000,1000000000000,1e-10,7,,,,,,,True,1041789828125*x1**2/701063314372 + 31523906250*x1*x2/202599230813 - 2243538748473231250*x1/896662257537559709 + 2336322125000*x2**2/1544556575369 - 20107867732482325000*x2/7901971518823283797 + 70599173004938552952922500/34972490234207457665776021
0,1,2,2,2,2,4,2,136,1.0,1/250,0.0002471566327432401,1e-06,0.496,-0.0964725650655629,1e-06,1.0,1e-06,certified,1.4970779999857768,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,115087906250*x1**2/88400620799 + 983412500*x1*x2/4607109919 - 596971667213387500*x1/423799559759449121 + 48335621875*x2**2/76131480944 - 270678301751578125*x2/364980334032530576 + 72191953192739308393221875/134295475995430135189798336
0,1,3,2,2,2,4,2,136,1.0,1/250,0.0011674417280212435,1e-06,0.6626666666666666,-0.04871280977705328,1e-06,1.0,1e-06,certified,1.2347918000305071,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,13293669187500*x1**2/7224696337453 + 5550147843750*x1*x2/4964513597617 - 464467113036893562500*x1/145205653259351507389 + 4236529250000*x2**2/2711239205493 - 462431673071926437500*x2/163475629253132195727 + 28819892207767061899806125000/14344357249265354869222896777
0,1,4,2,2,2,4,2,136,1.0,1/250,0.0012825807781530667,1e-06,0.746,-0.030688051662089544,1e-06,1.0,1e-06,certified,1.420869099907577,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,18622808500000*x1**2/13606377526263 + 4596524750000*x1*x2/5874281125199 - 505525943543047562500*x1/191495390812024815851 + 17219363500000*x2**2/11962628216733 - 462321443885248187500*x2/168361355627577366041 + 11084981402608672436626828125/5488403245674257549124890909
0,2,2,2,2,2,4,2,136,1.0,1/250,0.0018282176485042117,1e-06,0.6626666666666666,-0.05217476471318727,1e-06,1.0,1e-06,certified,1.4032981999916956,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,7514654343750*x1**2/3733661822401 + 53131546875*x1*x2/61289849152 - 1510767206118015625*x1/463213020334357664 + 2372455762500*x2**2/1513888272911 - 500994076251634375*x2/187819034690430304 + 2805346642018686352178125/1419488276426908832689328
0,2,3,2,2,2,4,2,136,1.0,1/250,0.00228154289899309,1e-06,0.796,-0.02580313459714939,1e-06,1.0,1e-06,certified,1.3331175000639632,mosek,optimal,L,100000000,1000000000000,1e-10,4,,,,,,,True,5181853937500*x1**2/3895602762123 + 115717550000*x1*x2/226271441381 - 56479396506835220000*x1/22258621045765917063 + 1788394593750*x2**2/1360347771749 - 19529635236814310000*x2/7772729251611772969 + 1544519806667407803097564000/764613659801849989336167987
