s,l,n,minty_mstar,q0_m_max_certified,q0_m_max_window_open,q0_gap_reason,q1_m_max_certified,q1_m_max_window_open,q1_gap_reason,q2_m_max_certified,q2_m_max_window_open,q2_gap_reason
0,1,2,2,4,4,,4,4,,4,4,
1,1,2,2,4,4,,4,4,,4,4,
2,1,2,3,4,4,,4,4,,4,4,
0,1,3,2,4,4,,4,4,,4,4,
1,1,3,3,4,4,,4,4,,4,4,
2,1,3,4,4,4,,4,4,,4,4,
0,1,4,3,4,4,,4,4,,4,4,
1,1,4,3,4,4,,4,4,,4,4,
2,1,4,4,4,4,,4,4,,4,4,
0,2,2,2,4,4,,4,4,,4,4,
1,2,2,3,4,4,,4,4,,4,4,
2,2,2,3,4,4,,4,4,,4,4,
0,2,3,3,4,4,,4,4,,4,4,
1,2,3,4,4,4,,4,4,,4,4,
2,2,3,5,4,4,,4,4,,4,4,
0,2,4,4,4,4,,4,4,,4,4,
1,2,4,5,4,4,,4,4,,4,4,
2,2,4,6,4,4,,4,4,,4,4,
0,3,2,2,4,4,,4,4,,4,4,
1,3,2,3,4,4,,4,4,,4,4,
2,3,2,4,4,4,,4,4,,4,4,
0,3,3,4,4,4,,4,4,,4,4,
1,3,3,5,4,4,,4,4,,4,4,
2,3,3,5,4,4,,4,4,,4,4,
0,3,4,6,4,4,,4,4,,4,4,
1,3,4,6,4,4,,4,4,,4,4,
2,3,4,7,4,4,,4,4,,4,4,
