s,l,n,alpha,mstar,r,w_dagger,delta_max,note
0,1,2,1,2,0.5,0.5625,0.22540010089000315,
0,1,3,2,2,0.6666666666666666,0.6481481481481481,0.16147869712055737,
0,1,4,3,3,0.75,0.7483552631578948,0.23250154021867991,
0,2,2,2,2,0.6666666666666666,0.669642857142857,0.36436973382257465,
0,2,3,4,3,0.8,0.7879146919431279,0.1578084758959296,
0,2,4,6,4,0.8571428571428571,0.8437907216313306,0.07583797323006489,
0,3,2,3,2,0.75,0.7409274193548386,0.10029666914565272,
0,3,3,6,4,0.8571428571428571,0.8483532839446362,0.15314435481127586,
0,3,4,9,6,0.9,0.8934051839507048,0.15682526316339662,
1,1,2,2,2,0.6666666666666666,0.625,0.020184746750939196,
1,1,3,3,3,0.75,0.7388888888888889,0.09793583741856944,
1,1,4,4,3,0.8,0.7697368421052632,0.009817008253000248,
1,2,2,3,3,0.75,0.7483552631578948,0.1382313932558086,
1,2,3,5,4,0.8333333333333334,0.8233079029733961,0.12183034699136186,
1,2,4,7,5,0.875,0.863849209803858,0.09394340535418302,
1,3,2,4,3,0.8,0.7879146919431279,0.0927133081580894,
1,3,3,7,5,0.875,0.8669323375034734,0.12940691197739843,
1,3,4,10,6,0.9090909090909091,0.8976798499026221,0.014569027545684232,
2,1,2,3,3,0.75,0.7291666666666667,0.03286973146260126,
2,1,3,4,4,0.8,0.7928571428571429,0.07075884035748305,
2,1,4,5,4,0.8333333333333334,0.8129222972972974,0.045109610656149934,
2,2,2,4,3,0.8,0.7697368421052632,0.005828979099448208,
2,2,3,6,5,0.8571428571428571,0.8492384578772013,0.09983685320385301,
2,2,4,8,6,0.8888888888888888,0.8797074492782666,0.09175161446197778,
2,3,2,5,4,0.8333333333333334,0.8233079029733961,0.08343447000469145,
2,3,3,8,5,0.8888888888888888,0.8733540585220176,0.004346591634869774,
2,3,4,11,7,0.9166666666666666,0.9066721315975294,0.047777560053508306,
3,1,2,4,4,0.8,0.7875,0.028005575011376512,
3,1,3,5,4,0.8333333333333334,0.8075396825396827,0.02184218979311737,
3,1,4,6,5,0.8571428571428571,0.8425644028103046,0.048400379312029666,
3,2,2,5,4,0.8333333333333334,0.8129222972972974,0.028956050427934914,
3,2,3,7,5,0.875,0.8574042122798667,0.03059668721793959,
3,2,4,9,6,0.9,0.8848821989799035,0.025752519538293477,
3,3,2,6,5,0.8571428571428571,0.8492384578772013,0.0718332985881934,
3,3,3,9,6,0.9,0.887095519472782,0.03631169930347596,
3,3,4,12,8,0.9230769230769231,0.9143555805424376,0.061141209855554095,
