s,l,n,mstar,m,delta,max_value,verdict
0,1,2,2,2,0.22540010089000315,0.006143674169312108,VIOLATES
0,1,3,2,2,0.16147869712055737,2.0695288263122835e-05,VIOLATES
0,1,4,3,2,0.23250154021867991,6.656013887802566e-32,satisfies
0,1,4,3,3,0.23250154021867991,0.0029467070224787513,VIOLATES
0,2,2,2,2,0.36436973382257465,0.00019349134521183184,VIOLATES
0,2,3,3,2,0.1578084758959296,4.877555150585363e-31,satisfies
0,2,3,3,3,0.1578084758959296,0.003080781217205869,VIOLATES
0,2,4,4,2,0.07583797323006489,5.10385701410392e-31,satisfies
0,2,4,4,3,0.07583797323006489,2.6377087029200974e-29,satisfies
0,2,4,4,4,0.07583797323006489,0.003461737305085699,VIOLATES
0,3,2,2,2,0.10029666914565272,7.798397309910499e-06,VIOLATES
0,3,3,4,2,0.15314435481127586,2.607623547813663e-30,satisfies
0,3,3,4,3,0.15314435481127586,1.1918938146960435e-28,satisfies
0,3,3,4,4,0.15314435481127586,0.0029677499189287165,VIOLATES
0,3,4,6,2,0.15682526316339662,4.6821377154263695e-30,satisfies
0,3,4,6,3,0.15682526316339662,6.240482235237736e-28,satisfies
0,3,4,6,4,0.15682526316339662,1.1412425533852126e-26,satisfies
0,3,4,6,5,0.15682526316339662,0.0,satisfies
0,3,4,6,6,0.15682526316339662,0.002393104272453858,VIOLATES
1,1,2,2,2,0.020184746750939196,0.00024240695846244886,VIOLATES
1,1,3,3,2,0.09793583741856944,4.0538685407190954e-32,satisfies
1,1,3,3,3,0.09793583741856944,0.005211539713563376,VIOLATES
1,1,4,3,2,0.009817008253000248,4.0059342843254374e-32,satisfies
1,1,4,3,3,0.009817008253000248,0.0047686635742016925,VIOLATES
1,2,2,3,2,0.1382313932558086,5.697328759929549e-32,satisfies
1,2,2,3,3,0.1382313932558086,0.0057162095282836944,VIOLATES
1,2,3,4,2,0.12183034699136186,5.409331921515473e-31,satisfies
1,2,3,4,3,0.12183034699136186,8.592825579076957e-30,satisfies
1,2,3,4,4,0.12183034699136186,0.004271136275609155,VIOLATES
1,2,4,5,2,0.09394340535418302,5.724160763508547e-31,satisfies
1,2,4,5,3,0.09394340535418302,2.7326033476163444e-29,satisfies
1,2,4,5,4,0.09394340535418302,1.3596589159272297e-28,satisfies
1,2,4,5,5,0.09394340535418302,0.0033796621568030066,VIOLATES
1,3,2,3,2,0.0927133081580894,6.022107803249657e-31,satisfies
1,3,2,3,3,0.0927133081580894,0.004322135822055817,VIOLATES
1,3,3,5,2,0.12940691197739843,9.671229799073082e-31,satisfies
1,3,3,5,3,0.12940691197739843,5.149738737341966e-29,satisfies
1,3,3,5,4,0.12940691197739843,3.7898157742896748e-28,satisfies
1,3,3,5,5,0.12940691197739843,0.0034866850976631864,VIOLATES
1,3,4,6,2,0.014569027545684232,3.807337467835998e-30,satisfies
1,3,4,6,3,0.014569027545684232,3.235654797393937e-28,satisfies
1,3,4,6,4,0.014569027545684232,1.3777485931293e-26,satisfies
1,3,4,6,5,0.014569027545684232,0.0,satisfies
1,3,4,6,6,0.014569027545684232,0.0032970827269314107,VIOLATES
2,1,2,3,2,0.03286973146260126,3.122574416499845e-32,satisfies
2,1,2,3,3,0.03286973146260126,0.008013674819652053,VIOLATES
2,1,3,4,2,0.07075884035748305,6.265692085739793e-32,satisfies
2,1,3,4,3,0.07075884035748305,2.042698363608041e-31,satisfies
2,1,3,4,4,0.07075884035748305,0.005474037095933602,VIOLATES
2,1,4,4,2,0.045109610656149934,5.747415166610216e-32,satisfies
2,1,4,4,3,0.045109610656149934,6.171995449271057e-31,satisfies
2,1,4,4,4,0.045109610656149934,0.004671893654644058,VIOLATES
2,2,2,3,2,0.005828979099448208,6.573840876841733e-32,satisfies
2,2,2,3,3,0.005828979099448208,0.0071536403334699905,VIOLATES
2,2,3,5,2,0.09983685320385301,5.419766589573938e-31,satisfies
2,2,3,5,3,0.09983685320385301,4.4633459405293814e-30,satisfies
2,2,3,5,4,0.09983685320385301,1.9008614695849887e-29,satisfies
2,2,3,5,5,0.09983685320385301,0.004402012121747095,VIOLATES
2,2,4,6,2,0.09175161446197778,6.290397348125948e-31,satisfies
2,2,4,6,3,0.09175161446197778,2.4769924810066296e-29,satisfies
2,2,4,6,4,0.09175161446197778,1.5393053808872207e-28,satisfies
2,2,4,6,5,0.09175161446197778,0.0,satisfies
2,2,4,6,6,0.09175161446197778,0.003202782267051306,VIOLATES
2,3,2,4,2,0.08343447000469145,5.5896429855660445e-31,satisfies
2,3,2,4,3,0.08343447000469145,1.0489866164279146e-29,satisfies
2,3,2,4,4,0.08343447000469145,0.0060872007119671945,VIOLATES
2,3,3,5,2,0.004346591634869774,9.520116833462807e-31,satisfies
2,3,3,5,3,0.004346591634869774,7.26149755141459e-29,satisfies
2,3,3,5,4,0.004346591634869774,8.461604025544327e-28,satisfies
2,3,3,5,5,0.004346591634869774,0.005135925237266914,VIOLATES
2,3,4,7,2,0.047777560053508306,2.6327937184439723e-30,satisfies
2,3,4,7,3,0.047777560053508306,4.566121739814502e-28,satisfies
2,3,4,7,4,0.047777560053508306,6.912801717933219e-27,satisfies
2,3,4,7,5,0.047777560053508306,0.0,satisfies
